episode,total_reward,travel_time,final_distance,num_steps,goal_x,goal_y
90,-300.0,50,86.0732177173438,50,59.7064,-98.62684
91,-300.0,50,132.81471106265133,50,59.09988,-98.65828
92,-300.0,50,125.8186791114915,50,60.97376,-101.5251
93,-300.0,50,105.00931821320184,50,57.878,-96.38709
94,-300.0,50,127.95057859224308,50,60.71808,-101.50853
95,-300.0,50,89.35083401855744,50,172.10544,-38.54658
96,-300.0,50,136.59086182075313,50,57.56459,-95.52724
97,-300.0,50,128.00616573509348,50,57.5697,-95.70551
98,-300.0,50,107.3613417899252,50,60.30195,-101.29418
99,-300.0,50,92.31570911064844,50,60.71808,-101.50853
100,-300.0,50,92.7246080117269,50,60.30195,-101.29418
101,-300.0,50,116.0188519793474,50,57.56459,-95.52724
102,-960.593064045011,20,7.999129048783103,20,174.28611,-52.95363
103,-60.723024258438485,1,3.871033157288669,1,146.38351,-16.8317
